id;record_id;turbine_id;date;generated_energy_kwh;operating_hours;inactive_hours;year;temperature_c
1;P001_0002;T001;2023-01-02;1923.30;22.95;1.05;2023;36.36
2;P001_0003;T001;2023-01-03;311.63;20.53;3.47;2023;28.76
3;P001_0004;T001;2023-01-04;1583.05;22.36;1.64;2023;24.85
4;P001_0005;T001;2023-01-05;330.33;19.64;4.36;2023;27.61
5;P001_0006;T001;2023-01-06;350.99;22.61;1.39;2023;28.22
6;P001_0007;T001;2023-01-07;1043.57;22.47;1.53;2023;31.66
7;P001_0008;T001;2023-01-08;0.08;21.68;2.32;2023;31.73
8;P001_0009;T001;2023-01-09;5.93;22.30;1.70;2023;27.04
9;P001_0010;T001;2023-01-10;280.90;22.81;1.19;2023;29.02
10;P001_0011;T001;2023-01-11;117.40;22.49;1.51;2023;30.22
11;P001_0012;T001;2023-01-12;1048.83;22.20;1.80;2023;30.02
12;P001_0013;T001;2023-01-13;155.42;22.27;1.73;2023;28.23
13;P001_0014;T001;2023-01-14;33.89;20.55;3.45;2023;31.26
14;P001_0015;T001;2023-01-15;3971.70;20.38;3.62;2023;26.43
15;P001_0016;T001;2023-01-16;577.73;22.03;1.97;2023;32.65
16;P001_0017;T001;2023-01-17;932.05;22.34;1.66;2023;28.35
17;P001_0018;T001;2023-01-18;33.65;21.64;2.36;2023;32.25
18;P001_0019;T001;2023-01-19;318.21;21.30;2.70;2023;30.38
19;P001_0020;T001;2023-01-20;1048.69;22.43;1.57;2023;30.03
20;P001_0021;T001;2023-01-21;103.97;21.94;2.06;2023;29.35
21;P001_0022;T001;2023-01-22;1390.02;20.87;3.13;2023;25.46
22;P001_0023;T001;2023-01-23;330.00;22.47;1.53;2023;30.69
23;P001_0024;T001;2023-01-24;589.34;21.96;2.04;2023;29.09
24;P001_0025;T001;2023-01-25;323.68;19.75;4.25;2023;29.15
25;P001_0026;T001;2023-01-26;5763.24;22.59;1.41;2023;32.99
26;P001_0027;T001;2023-01-27;1057.86;20.51;3.49;2023;27.25
27;P001_0028;T001;2023-01-28;141.72;21.29;2.71;2023;30.79
28;P001_0029;T001;2023-01-29;2642.84;21.39;2.61;2023;29.50
29;P001_0030;T001;2023-01-30;117.94;22.24;1.76;2023;30.53
30;P001_0031;T001;2023-01-31;1186.84;18.69;5.31;2023;30.46
31;P001_0032;T001;2023-02-01;5.18;21.64;2.36;2023;26.65
32;P001_0033;T001;2023-02-02;103.80;22.27;1.73;2023;30.28
33;P001_0034;T001;2023-02-03;1463.21;22.36;1.64;2023;28.35
34;P001_0035;T001;2023-02-04;2417.72;20.83;3.17;2023;29.78
35;P001_0036;T001;2023-02-05;1510.60;22.34;1.66;2023;31.44
36;P001_0037;T001;2023-02-06;966.89;20.67;3.33;2023;29.12
37;P001_0038;T001;2023-02-07;834.77;21.86;2.14;2023;26.97
38;P001_0039;T001;2023-02-08;95.20;22.10;1.90;2023;22.44
39;P001_0040;T001;2023-02-09;491.90;21.46;2.54;2023;28.31
40;P001_0041;T001;2023-02-10;814.92;22.87;1.13;2023;27.99
41;P001_0042;T001;2023-02-11;3736.12;22.53;1.47;2023;28.83
42;P001_0043;T001;2023-02-12;2228.46;21.93;2.07;2023;29.42
43;P001_0044;T001;2023-02-13;66.20;22.49;1.51;2023;26.31
44;P001_0045;T001;2023-02-14;0.00;0.00;12.00;2023;26.21
45;P001_0046;T001;2023-02-15;997.62;21.52;2.48;2023;29.17
46;P001_0047;T001;2023-02-16;680.98;22.43;1.57;2023;31.63
47;P001_0048;T001;2023-02-17;3089.86;22.68;1.32;2023;30.54
48;P001_0049;T001;2023-02-18;4281.79;21.56;2.44;2023;29.15
49;P001_0050;T001;2023-02-19;4023.16;19.83;4.17;2023;27.68
50;P001_0051;T001;2023-02-20;676.79;22.27;1.73;2023;24.12
51;P001_0052;T001;2023-02-21;1237.89;20.01;3.99;2023;28.23
52;P001_0053;T001;2023-02-22;2667.99;21.55;2.45;2023;30.58
53;P001_0054;T001;2023-02-23;4685.38;22.54;1.46;2023;27.78
54;P001_0055;T001;2023-02-24;1295.93;22.75;1.25;2023;24.50
55;P001_0056;T001;2023-02-25;1419.22;18.64;5.36;2023;30.00
56;P001_0057;T001;2023-02-26;0.00;0.00;12.00;2023;27.62
57;P001_0058;T001;2023-02-27;552.48;21.88;2.12;2023;27.45
58;P001_0059;T001;2023-02-28;4671.17;19.84;4.16;2023;27.48
59;P001_0060;T001;2023-03-01;7318.88;22.60;1.40;2023;24.37
60;P001_0061;T001;2023-03-02;2360.13;21.82;2.18;2023;24.75
61;P001_0062;T001;2023-03-03;6254.48;21.66;2.34;2023;24.37
62;P001_0063;T001;2023-03-04;3872.45;22.09;1.91;2023;22.89
63;P001_0064;T001;2023-03-05;1374.12;20.67;3.33;2023;17.51
64;P001_0065;T001;2023-03-06;4202.09;21.29;2.71;2023;19.70
65;P001_0066;T001;2023-03-07;10140.01;20.45;3.55;2023;24.93
66;P001_0067;T001;2023-03-08;3035.57;20.55;3.45;2023;23.26
67;P001_0068;T001;2023-03-09;11334.03;22.32;1.68;2023;20.81
68;P001_0069;T001;2023-03-10;36.57;22.40;1.60;2023;25.00
69;P001_0070;T001;2023-03-11;5894.23;19.68;4.32;2023;21.37
70;P001_0071;T001;2023-03-12;3971.06;22.26;1.74;2023;20.21
71;P001_0072;T001;2023-03-13;2928.61;22.81;1.19;2023;25.05
72;P001_0073;T001;2023-03-14;4331.18;22.29;1.71;2023;21.58
73;P001_0074;T001;2023-03-15;330.65;22.64;1.36;2023;25.86
74;P001_0075;T001;2023-03-16;3189.36;20.54;3.46;2023;24.67
75;P001_0076;T001;2023-03-17;5194.78;22.21;1.79;2023;22.07
76;P001_0077;T001;2023-03-18;10350.17;20.90;3.10;2023;23.46
77;P001_0078;T001;2023-03-19;3008.79;22.08;1.92;2023;20.44
78;P001_0079;T001;2023-03-20;2152.49;23.06;0.94;2023;21.38
79;P001_0080;T001;2023-03-21;2950.56;21.10;2.90;2023;20.81
80;P001_0081;T001;2023-03-22;9154.19;21.03;2.97;2023;22.94
81;P001_0082;T001;2023-03-23;5721.81;22.41;1.59;2023;24.46
82;P001_0083;T001;2023-03-24;3525.97;22.90;1.10;2023;24.40
83;P001_0084;T001;2023-03-25;7965.82;22.47;1.53;2023;20.12
84;P001_0085;T001;2023-03-26;6398.74;23.00;1.00;2023;21.25
85;P001_0086;T001;2023-03-27;10169.93;22.82;1.18;2023;24.04
86;P001_0087;T001;2023-03-28;3477.52;22.28;1.72;2023;22.08
87;P001_0088;T001;2023-03-29;4418.65;22.67;1.33;2023;22.40
88;P001_0089;T001;2023-03-30;4743.55;22.30;1.70;2023;24.19
89;P001_0090;T001;2023-03-31;1481.93;19.89;4.11;2023;21.48
90;P001_0091;T001;2023-04-01;8053.44;22.26;1.74;2023;16.91
91;P001_0092;T001;2023-04-02;7635.53;21.93;2.07;2023;19.89
92;P001_0093;T001;2023-04-03;6015.87;21.92;2.08;2023;18.16
93;P001_0094;T001;2023-04-04;4634.34;21.53;2.47;2023;18.29
94;P001_0095;T001;2023-04-05;2166.36;22.55;1.45;2023;15.66
95;P001_0096;T001;2023-04-06;4879.92;20.83;3.17;2023;18.77
96;P001_0097;T001;2023-04-07;5577.20;21.20;2.80;2023;20.51
97;P001_0098;T001;2023-04-08;3837.11;20.69;3.31;2023;19.21
98;P001_0099;T001;2023-04-09;7744.16;22.90;1.10;2023;18.22
99;P001_0100;T001;2023-04-10;10225.15;22.09;1.91;2023;17.43
100;P001_0101;T001;2023-04-11;21597.05;21.57;2.43;2023;17.93
101;P001_0102;T001;2023-04-12;9097.49;21.79;2.21;2023;21.03
102;P001_0103;T001;2023-04-13;9650.49;21.39;2.61;2023;18.51
103;P001_0104;T001;2023-04-14;8426.70;23.00;1.00;2023;19.14
104;P001_0105;T001;2023-04-15;1534.43;19.51;4.49;2023;18.86
105;P001_0106;T001;2023-04-16;9045.00;22.71;1.29;2023;18.02
106;P001_0107;T001;2023-04-17;9564.68;22.39;1.61;2023;18.56
107;P001_0108;T001;2023-04-18;29061.91;20.90;3.10;2023;22.01
108;P001_0109;T001;2023-04-19;9578.39;22.98;1.02;2023;16.00
109;P001_0110;T001;2023-04-20;11400.22;22.67;1.33;2023;16.83
110;P001_0111;T001;2023-04-21;9441.20;22.08;1.92;2023;18.23
111;P001_0112;T001;2023-04-22;3792.02;18.59;5.41;2023;21.95
112;P001_0113;T001;2023-04-23;19971.02;22.24;1.76;2023;14.60
113;P001_0114;T001;2023-04-24;15083.40;21.69;2.31;2023;18.06
114;P001_0115;T001;2023-04-25;16344.44;20.89;3.11;2023;17.32
115;P001_0116;T001;2023-04-26;6225.76;20.46;3.54;2023;16.08
116;P001_0117;T001;2023-04-27;23108.68;22.81;1.19;2023;22.26
117;P001_0118;T001;2023-04-28;4052.27;19.15;4.85;2023;16.86
118;P001_0119;T001;2023-04-29;16170.63;22.50;1.50;2023;14.48
119;P001_0120;T001;2023-04-30;36517.61;21.77;2.23;2023;16.46
120;P001_0121;T001;2023-05-01;7318.26;23.04;0.96;2023;18.29
121;P001_0122;T001;2023-05-02;8469.77;21.83;2.17;2023;14.06
122;P001_0123;T001;2023-05-03;12522.85;22.47;1.53;2023;14.39
123;P001_0124;T001;2023-05-04;9428.83;20.69;3.31;2023;17.44
124;P001_0125;T001;2023-05-05;4648.26;21.66;2.34;2023;13.06
125;P001_0126;T001;2023-05-06;14523.82;22.68;1.32;2023;15.00
126;P001_0127;T001;2023-05-07;6896.21;23.00;1.00;2023;16.12
127;P001_0128;T001;2023-05-08;17170.95;22.24;1.76;2023;15.80
128;P001_0129;T001;2023-05-09;7917.63;20.70;3.30;2023;16.29
129;P001_0130;T001;2023-05-10;29117.96;20.54;3.46;2023;16.30
130;P001_0131;T001;2023-05-11;8061.32;20.93;3.07;2023;16.13
131;P001_0132;T001;2023-05-12;12293.47;21.84;2.16;2023;15.05
132;P001_0133;T001;2023-05-13;23483.85;22.40;1.60;2023;20.80
133;P001_0134;T001;2023-05-14;6795.83;21.47;2.53;2023;15.08
134;P001_0135;T001;2023-05-15;17114.27;20.73;3.27;2023;16.29
135;P001_0136;T001;2023-05-16;28816.29;22.52;1.48;2023;14.50
136;P001_0137;T001;2023-05-17;5822.91;22.56;1.44;2023;16.77
137;P001_0138;T001;2023-05-18;16589.68;19.77;4.23;2023;15.17
138;P001_0139;T001;2023-05-19;18934.62;22.21;1.79;2023;12.82
139;P001_0140;T001;2023-05-20;22800.13;22.51;1.49;2023;12.37
140;P001_0141;T001;2023-05-21;8234.46;22.66;1.34;2023;17.00
141;P001_0142;T001;2023-05-22;7687.06;22.68;1.32;2023;14.95
142;P001_0143;T001;2023-05-23;23438.38;22.36;1.64;2023;13.06
143;P001_0144;T001;2023-05-24;19726.10;21.55;2.45;2023;12.93
144;P001_0145;T001;2023-05-25;20173.71;22.61;1.39;2023;16.82
145;P001_0146;T001;2023-05-26;19934.33;22.81;1.19;2023;13.87
146;P001_0147;T001;2023-05-27;12384.59;22.36;1.64;2023;15.26
147;P001_0148;T001;2023-05-28;21577.72;22.38;1.62;2023;14.70
148;P001_0149;T001;2023-05-29;18495.16;20.94;3.06;2023;14.22
149;P001_0150;T001;2023-05-30;12687.81;22.72;1.28;2023;16.31
