price_id;date;price_kwh_usd
1;1/1/23;0.052
2;1/2/23;0.054
3;1/3/23;-0.054
4;1/4/23;0.056
5;1/5/23;
6;1/6/23;0.065
7;1/7/23;0.067
8;1/8/23;0.064
9;1/9/23;0.058
10;1/10/23;0.056
11;1/11/23;0.054
12;1/12/23;0.053
13;1/1/24;0.053
14;1/2/24;0.052
15;1/3/24;0.054
16;1/4/24;0.056
17;1/5/24;0.060
18;1/6/24;0.065
19;1/7/24;0.067
20;1/8/24;0.064
21;1/9/24;0.058
22;1/10/24;0.056
23;1/11/24;0.054
24;1/12/24;0.053
25;1/1/25;0.053
26;1/2/25;0.052
27;1/3/25;0.054
28;1/4/25;0.056
29;1/5/25;0.060
30;1/6/25;0.065
31;1/7/25;0.067
32;1/8/25;0.064
33;1/9/25;0.058
34;1/10/25;0.056
35;1/11/25;0.054
36;1/12/25;0.053
