record_id;turbine_id;date;generated_energy_kwh;operating_hours;inactive_hours;year;temperature_c
P001_0001;T001;2023-01-01;3768.97;20.51;3.49;2023;29.91
P001_0002;T001;2023-01-02;1923.3;22.95;1.05;2023;36.36
P001_0003;T001;2023-01-03;311.63;20.53;3.47;2023;28.76
P001_0004;T001;2023-01-04;1583.05;22.36;1.64;2023;24.85
P001_0005;T001;2023-01-05;330.33;19.64;4.36;2023;27.61
P001_0006;T001;2023-01-06;350.99;22.61;1.39;2023;28.22
P001_0007;T001;2023-01-07;1043.57;22.47;1.53;2023;31.66
P010_0008;T001;2023-01-08;0.08;21.68;2.32;2023;31.73
P001_0009;T001;2023-01-09;5.93;22.3;1.7;2023;27.04
P001_0010;T001;2023-01-10;280.9;22.81;1.19;2023;29.02
P001_0011;T001;2023-01-11;117.4;22.49;1.51;2023;30.22
P001_0012;T001;2023-01-12;1048.83;22.2;1.8;2023;30.02
P001_0013;T001;2023-01-13;155.42;22.27;1.73;2023;28.23
P001_0014;T001;2023-01-14;33.89;20.55;3.45;2023;31.26
P001_0015;T001;2023-01-15;3971.7;20.38;3.62;2023;26.43
P001_0016;T001;2023-01-16;577.73;22.03;1.97;2023;32.65
P001_0017;T001;2023-01-17;932.05;22.34;1.66;2023;28.35
P001_0018;T001;2023-01-18;33.65;21.64;2.36;2023;32.25
P001_0019;T001;2023-01-19;318.21;21.3;2.7;2023;30.38
P001_0020;T001;2023-01-20;1048.69;22.43;1.57;2023;30.03
P001_0021;T001;2023-01-21;103.97;21.94;2.06;2023;29.35
P001_0022;T001;2023-01-22;1390.02;20.87;3.13;2023;25.46
P001_0023;T001;2023-01-23;330.0;22.47;1.53;2023;30.69
P001_0024;T001;2023-01-24;589.34;21.96;2.04;2023;29.09
P001_0025;T001;2023-01-25;323.68;19.75;4.25;2023;29.15
P001_0026;T001;2023-01-26;5763.24;22.59;1.41;2023;32.99
P001_0027;T001;2023-01-27;1057.86;20.51;3.49;2023;27.25
P001_0028;T001;2023-01-28;141.72;21.29;2.71;2023;30.79
P001_0029;T001;2023-01-29;2642.84;21.39;2.61;2023;29.5
P001_0030;T001;2023-01-30;117.94;22.24;1.76;2023;30.53
P001_0031;T001;2023-01-31;1186.84;18.69;5.31;2023;30.46
P001_0032;T001;2023-02-01;5.18;21.64;2.36;2023;26.65
P001_0033;T001;2023-02-02;103.8;22.27;1.73;2023;30.28
P001_0034;T001;2023-02-03;1463.21;22.36;1.64;2023;28.35
P001_0035;T001;2023-02-04;2417.72;20.83;3.17;2023;29.78
P001_0036;T001;2023-02-05;1510.6;22.34;1.66;2023;31.44
P001_0037;T001;2023-02-06;966.89;20.67;3.33;2023;29.12
P001_0038;T001;2023-02-07;834.77;21.86;2.14;2023;26.97
P001_0039;T001;2023-02-08;95.2;22.1;1.9;2023;22.44
P001_0040;T001;2023-02-09;491.9;21.46;2.54;2023;28.31
P001_0041;T001;2023-02-10;814.92;22.87;1.13;2023;27.99
P001_0042;T001;2023-02-11;3736.12;22.53;1.47;2023;28.83
P001_0043;T001;2023-02-12;2228.46;21.93;2.07;2023;29.42
P001_0044;T001;2023-02-13;66.2;22.49;1.51;2023;26.31
P001_0045;T001;2023-02-14;0.0;0.0;12.0;2023;26.21
P001_0046;T001;2023-02-15;997.62;21.52;2.48;2023;29.17
P001_0047;T001;2023-02-16;680.98;22.43;1.57;2023;31.63
P001_0048;T001;2023-02-17;3089.86;22.68;1.32;2023;30.54
P001_0049;T001;2023-02-18;4281.79;21.56;2.44;2023;29.15
P001_0050;T001;2023-02-19;4023.16;19.83;4.17;2023;27.68
P001_0051;T001;2023-02-20;676.79;22.27;1.73;2023;24.12
P001_0052;T001;2023-02-21;1237.89;20.01;3.99;2023;28.23
P001_0053;T001;2023-02-22;2667.99;21.55;2.45;2023;30.58
P001_0054;T001;2023-02-23;4685.38;22.54;1.46;2023;27.78
P001_0055;T001;2023-02-24;1295.93;22.75;1.25;2023;24.5
P001_0056;T001;2023-02-25;1419.22;18.64;5.36;2023;30.0
P001_0057;T001;2023-02-26;0.0;0.0;12.0;2023;27.62
P001_0058;T001;2023-02-27;552.48;21.88;2.12;2023;27.45
P001_0059;T001;2023-02-28;4671.17;19.84;4.16;2023;27.48
P001_0060;T001;2023-03-01;7318.88;22.6;1.4;2023;24.37
P001_0061;T001;2023-03-02;2360.13;21.82;2.18;2023;24.75
P001_0062;T001;2023-03-03;6254.48;21.66;2.34;2023;24.37
P001_0063;T001;2023-03-04;3872.45;22.09;1.91;2023;22.89
P001_0064;T001;2023-03-05;1374.12;20.67;3.33;2023;17.51
P001_0065;T001;2023-03-06;4202.09;21.29;2.71;2023;19.7
P001_0066;T001;2023-03-07;10140.01;20.45;3.55;2023;24.93
P001_0067;T001;2023-03-08;3035.57;20.55;3.45;2023;23.26
P001_0068;T001;2023-03-09;11334.03;22.32;1.68;2023;20.81
P001_0069;T001;2023-03-10;36.57;22.4;1.6;2023;25.0
P001_0070;T001;2023-03-11;5894.23;19.68;4.32;2023;21.37
P001_0071;T001;2023-03-12;3971.06;22.26;1.74;2023;20.21
P001_0072;T001;2023-03-13;2928.61;22.81;1.19;2023;25.05
P001_0073;T001;2023-03-14;4331.18;22.29;1.71;2023;21.58
P001_0074;T001;2023-03-15;330.65;22.64;1.36;2023;25.86
P001_0075;T001;2023-03-16;3189.36;20.54;3.46;2023;24.67
P001_0076;T001;2023-03-17;5194.78;22.21;1.79;2023;22.07
P001_0077;T001;2023-03-18;10350.17;20.9;3.1;2023;23.46
P001_0078;T001;2023-03-19;3008.79;22.08;1.92;2023;20.44
P001_0079;T001;2023-03-20;2152.49;23.06;0.94;2023;21.38
P001_0080;T001;2023-03-21;2950.56;21.1;2.9;2023;20.81
P001_0081;T001;2023-03-22;9154.19;21.03;2.97;2023;22.94
P001_0082;T001;2023-03-23;5721.81;22.41;1.59;2023;24.46
P001_0083;T001;2023-03-24;3525.97;22.9;1.1;2023;24.4
P001_0084;T001;2023-03-25;7965.82;22.47;1.53;2023;20.12
P001_0085;T001;2023-03-26;6398.74;23.0;1.0;2023;21.25
P001_0086;T001;2023-03-27;10169.93;22.82;1.18;2023;24.04
P001_0087;T001;2023-03-28;3477.52;22.28;1.72;2023;22.08
P001_0088;T001;2023-03-29;4418.65;22.67;1.33;2023;22.4
P001_0089;T001;2023-03-30;4743.55;22.3;1.7;2023;24.19
P001_0090;T001;2023-03-31;1481.93;19.89;4.11;2023;21.48
P001_0091;T001;2023-04-01;8053.44;22.26;1.74;2023;16.91
P001_0092;T001;2023-04-02;7635.53;21.93;2.07;2023;19.89
